journal_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.003,0.0,0.0,0.002,0.002,0.002,0.001,0.0,0.0,0.002,0.002,0.0,0.0,0.002,0.002,0.002,0.0,0.002,0.002,0.002
1,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0,0.003,0.003,0.003,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.004,0.004,0,0,0.004,0.003,0.004,0.003,0,0,0.003,0.004,0,0,0.004,0.004,0.003,0,0.004,0.004,0.004
2,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.004,0,0.003,0.002,0.003,0.003,0.005,0.004,0.003,0.004,0.002,0.003,0.003,0.003,0,0,0.003,0.004,0.003,0.004,0,0,0.003,0.003,0,0,0.003,0.003,0.004,0,0.003,0.003,0.003
3,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0,0.002,0.003,0.002,0.003,0.002,0.003,0.003,0.002,0.003,0.004,0.003,0.003,0,0,0.003,0.002,0.003,0.002,0,0,0.003,0.004,0,0,0.005,0.002,0.003,0,0.002,0.003,0.003
4,0.003,0.003,0.002,0.004,0.003,0.003,0.004,0.002,0,0.003,0.003,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0,0,0.002,0.003,0.002,0.004,0,0,0.002,0.003,0,0,0.003,0.003,0.003,0,0.002,0.004,0.002
5,0.002,0.003,0.004,0.004,0.003,0.002,0.002,0.002,0,0.002,0.002,0.003,0.003,0.003,0.004,0.003,0.003,0.002,0.002,0.003,0.002,0,0,0.002,0.002,0.002,0.003,0,0,0.002,0.003,0,0,0.003,0.004,0.003,0,0.002,0.002,0.002
6,0.002,0.004,0.002,0.003,0.003,0.002,0.003,0.002,0,0.002,0.002,0.002,0.003,0.002,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0,0,0.002,0.003,0.002,0.003,0,0,0.003,0.003,0,0,0.004,0.003,0.003,0,0.003,0.004,0.004
7,0.002,0.003,0.002,0.003,0.002,0.003,0.003,0.002,0,0.003,0.004,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.003,0.002,0,0,0.002,0.003,0.002,0.002,0,0,0.002,0.003,0,0,0.004,0.002,0.005,0,0.002,0.002,0.006
8,0.003,0.003,0.002,0.002,0.004,0.003,0.003,0.001,0,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.003,0.002,0.002,0.003,0.002,0,0.002,0.002,0.002,0.002,0.002,0,0.002,0.002,0.002,0.002,0,0.005,0.003,0.002,0.002,0.003,0.003,0.003
9,0.003,0.003,0.004,0.003,0.003,0.002,0.003,0.003,0.001,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0,0.003,0.002,0.002,0.002,0.002,0,0.002,0.002,0.005,0.003,0,0.004,0.003,0.002,0.003,0.004,0.002,0.003
10,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.003,0.002,0.004,0.001,0.002,0.002,0.004,0.003,0.002,0.004,0.004,0.003,0.003,0.002,0.002,0.003,0.002,0.002,0.002,0.003,0.001,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.004,0.002,0.003
11,0.003,0.003,0.004,0.003,0.003,0.003,0.001,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.002,0.004,0.004,0.003,0.003,0.004,0.002,0.003,0.002,0.003
12,0.004,0.003,0.003,0.003,0.004,0.002,0.003,0.003,0.003,0.005,0.002,0.002,0.002,0.002,0.004,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.002
13,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.002,0.003,0.001,0.002,0.002,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.002,0.002
14,0.003,0.002,0.002,0.006,0.005,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.003,0.002,0.002,0.005,0.002,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.003,0.002,0.003,0.003
15,0.003,0.003,0.003,0.003,0.005,0.003,0.003,0.002,0.003,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.003,0.005,0.002,0.002,0.002,0.003,0.002,0.003,0.002
16,0.003,0.002,0.003,0.003,0.004,0.003,0.004,0.003,0.004,0.003,0.003,0.002,0.003,0.001,0.003,0.002,0.003,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.002,0.004,0.003,0.002,0.001,0.002,0.003,0.003,0.003,0.002,0.003,0.003,0.004,0.002,0.002,0.002
17,0.002,0.002,0.003,0.006,0.002,0.002,0.003,0.003,0.004,0.002,0.003,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.003,0.002,0.002,0.003
18,0.003,0.003,0.002,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.004,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.003,0.002,0.003,0.003,0.004,0.003,0.003,0.001,0.002,0.003,0.002,0.003,0.003,0.003,0.003,0.002,0.003,0.002,0.003,0.005
19,0.003,0.002,0.003,0.002,0.002,0.002,0.003,0.002,0.003,0.003,0.002,0.002,0.003,0.002,0.002,0.003,0.003,0.002,0.001,0.003,0.002,0.002,0.003,0.004,0.003,0.002,0.004,0.002,0.002,0.004,0.003,0.002,0.003,0.002,0.002,0.003,0.004,0.001,0.003,0.003
20,0.002,0.003,0.003,0.003,0.003,0.004,0.003,0.002,0.003,0.003,0.003,0.002,0.003,0.003,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.003,0.003,0.002,0.002,0.003,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.003,0.003,0.003,0.003
21,0.003,0.002,0.004,0.004,0.002,0.005,0.003,0.003,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.004,0.004,0.003,0.003,0.002,0.002,0.004,0.002,0.003,0.002,0.002,0.002,0.003,0.003,0.002,0.004,0.003,0.002,0.007,0.003,0.004,0.002,0.003,0.003,0.003
22,0.004,0.003,0.003,0.003,0.003,0.004,0.003,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.002,0.003,0.002,0.003,0.003,0.003,0.004,0.003,0.003,0.002,0.002,0.002,0.003,0.004,0.002,0.002,0.003,0.002,0.002,0.003,0.002,0.002,0.004,0.003,0.002,0.003
23,0.002,0.005,0.003,0.003,0.002,0.004,0.003,0.002,0.002,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.002,0.002,0.002,0.004,0.002,0.003,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.002,0.003,0.003,0.003
24,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.002,0.003,0.004,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.002,0.002,0.003,0.003,0.002,0.004,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.005,0.003,0.003,0.003,0.002,0.003
25,0.003,0.001,0.003,0.002,0.003,0.004,0.002,0.002,0.003,0.005,0.002,0.003,0.003,0.003,0.002,0.002,0.004,0.003,0.003,0.004,0.002,0.002,0.003,0.003,0.002,0.002,0.004,0.001,0.003,0.003,0.004,0.003,0.003,0.003,0.004,0.004,0.002,0.003,0.003,0.003
26,0.002,0.004,0.003,0.002,0.002,0.003,0.003,0.003,0.002,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.002,0.001,0.002,0.003,0.003,0.003,0.003,0.002,0.002,0.003,0.003,0.005,0.003,0.003
27,0.002,0.002,0.004,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.001,0.002,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.004,0.002,0.003,0.003,0.002,0.001,0.001,0.003,0.002,0.003,0.002,0.003,0.004,0.003,0.002,0.003,0.001,0.003
